#ZVView-data-copy:   1-Oct-2024 17:17:32
#=======================================
#
#name:   ENDF/B-VIII.0: W-183(N,EL)W-183-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  26195
#data...
#            X            Y
#          MeV        barns
    1.10031e-5      5.05586 
    1.18015e-5      4.81728 
    1.31093e-5      4.47577 
    1.55092e-5      3.86952 
    1.67511e-5      3.53034 
    1.77166e-5      3.24346 
    1.84771e-5       2.9988 
    1.91362e-5      2.77078 
    1.98178e-5      2.51657 
    2.03809e-5      2.29099 
      2.096e-5      2.04265 
    2.14057e-5      1.84017 
    2.19368e-5       1.5865 
    2.28785e-5      1.12005 
    2.31197e-5      1.00478 
    2.32828e-5     0.930767 
    2.34459e-5     0.861694 
    2.35699e-5     0.813748 
     2.3694e-5     0.771055 
    2.37767e-5     0.746174 
    2.38605e-5     0.724452 
    2.39444e-5     0.707026 
    2.40282e-5     0.694714 
    2.40911e-5     0.689341 
    2.41495e-5     0.687725 
    2.42134e-5     0.690154 
    2.42773e-5      0.69754 
    2.43412e-5      0.71055 
    2.43838e-5      0.72272 
    2.44264e-5     0.737972 
     2.4469e-5     0.756577 
    2.45094e-5     0.777611 
    2.45477e-5     0.800814 
    2.45859e-5     0.827499 
    2.46242e-5     0.857971 
    2.46625e-5     0.892558 
    2.47008e-5     0.931609 
    2.47391e-5       0.9755 
    2.47773e-5      1.02464 
    2.48126e-5      1.07502 
     2.4845e-5      1.12577 
    2.48773e-5      1.18125 
    2.49097e-5      1.24181 
     2.4942e-5      1.30785 
    2.49744e-5      1.37978 
    2.50067e-5      1.45808 
    2.50391e-5      1.54324 
    2.50698e-5      1.63099 
    2.50989e-5      1.72075 
     2.5128e-5      1.81745 
    2.51571e-5      1.92159 
    2.51862e-5      2.03375 
    2.52154e-5      2.15451 
    2.52445e-5      2.28456 
    2.52736e-5      2.42461 
    2.53011e-5      2.56677 
    2.53399e-5      2.78527 
    2.53787e-5      3.02669 
    2.54175e-5       3.2936 
    2.54563e-5       3.5889 
    2.54822e-5      3.80316 
    2.55178e-5      4.12282 
    2.55518e-5      4.45765 
    2.55857e-5      4.82467 
    2.56197e-5      5.22742 
    2.56537e-5      5.66989 
    2.56876e-5      6.15666 
    2.57216e-5      6.69291 
    2.57555e-5       7.2846 
    2.57895e-5      7.93856 
    2.58121e-5      8.41297 
    2.58348e-5      8.92116 
    2.58671e-5      9.71158 
    2.58963e-5      10.4949 
    2.59254e-5      11.3547 
    2.59545e-5      12.3001 
    2.59836e-5      13.3418 
    2.60127e-5      14.4918 
    2.60418e-5      15.7643 
    2.60612e-5      16.6887 
    2.60806e-5      17.6804 
       2.61e-5      18.7454 
    2.61194e-5      19.8907 
    2.61388e-5       21.124 
    2.61583e-5       22.454 
     2.6176e-5      23.7665 
    2.62003e-5      25.7157 
    2.62246e-5      27.8715 
    2.62488e-5      30.2622 
     2.6265e-5      32.0028 
    2.62812e-5       33.874 
    2.62973e-5      35.8884 
    2.63197e-5      38.9304 
    2.63345e-5      41.1464 
    2.63494e-5      43.5299 
    2.63643e-5      46.0977 
    2.63792e-5      48.8685 
    2.63941e-5      51.8638 
    2.64089e-5      55.1077 
    2.64228e-5      58.3893 
    2.64358e-5      61.6811 
    2.64487e-5      65.2273 
    2.64617e-5      69.0545 
    2.64746e-5      73.1926 
    2.64875e-5      77.6759 
    2.65005e-5      82.5436 
    2.65134e-5      87.8408 
    2.65257e-5      93.3182 
    2.65374e-5      98.9549 
     2.6549e-5      105.079 
    2.65606e-5      111.747 
    2.65723e-5       119.03 
    2.65839e-5      127.005 
    2.65956e-5      135.766 
    2.66072e-5      145.423 
    2.66176e-5      154.865 
    2.66266e-5      163.878 
    2.66357e-5      173.682 
    2.66447e-5      184.374 
    2.66538e-5      196.071 
    2.66629e-5      208.907 
    2.66719e-5      223.038 
     2.6681e-5      238.649 
    2.66894e-5      254.657 
    2.66971e-5      270.904 
    2.67049e-5      288.749 
    2.67127e-5      308.398 
    2.67204e-5      330.089 
    2.67282e-5       354.09 
     2.6736e-5      380.705 
    2.67437e-5      410.279 
    2.67512e-5      441.753 
    2.67583e-5      475.079 
    2.67654e-5      511.924 
    2.67725e-5      552.684 
    2.67796e-5      597.789 
     2.6785e-5      634.747 
    2.67903e-5      674.613 
    2.67956e-5      717.607 
     2.6801e-5      763.948 
    2.68068e-5       818.59 
    2.68136e-5      888.125 
    2.68204e-5      964.359 
    2.68272e-5      1047.78 
     2.6834e-5      1138.86 
    2.68408e-5      1238.06 
    2.68485e-5      1361.91 
    2.68563e-5      1497.45 
    2.68641e-5      1645.14 
    2.68718e-5      1805.27 
    2.68796e-5      1977.95 
    2.68873e-5       2163.1 
    2.68951e-5       2360.4 
    2.69055e-5      2641.29 
    2.69158e-5      2940.48 
    2.69287e-5      3335.23 
     2.6965e-5       4485.2 
    2.69805e-5      4948.41 
    2.69909e-5      5229.14 
    2.70012e-5      5478.84 
    2.70108e-5      5676.26 
    2.70196e-5      5824.99 
    2.70291e-5      5947.58 
    2.70369e-5      6014.86 
    2.70461e-5      6055.79 
    2.70487e-5      6059.56 
    2.70581e-5      6044.56 
    2.70659e-5      5998.68 
    2.70757e-5      5898.57 
     2.7083e-5      5796.33 
    2.70933e-5      5611.79 
    2.71037e-5      5387.06 
     2.7114e-5      5128.62 
    2.71244e-5      4843.53 
    2.71399e-5      4382.01 
     2.7171e-5      3423.38 
    2.71839e-5      3040.39 
    2.71942e-5      2749.93 
    2.72046e-5      2476.96 
    2.72124e-5      2284.98 
