#ZVView-data-copy:   1-Oct-2024 00:20:15
#=======================================
#
#name:   ENDF/B-VIII.0: CA-44(N,EL)CA-44-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4424
#data...
#            X            Y
#          MeV        barns
         1e-11      28.6863 
    1.1078e-11      27.2716 
   1.22194e-11      25.9835 
   1.34785e-11      24.7579 
   1.48673e-11      23.5918 
   1.63991e-11      22.4824 
   1.80889e-11      21.4271 
   1.99527e-11      20.4233 
   2.20085e-11      19.4685 
   2.42762e-11      18.5606 
   2.67776e-11      17.6973 
   2.95367e-11      16.8766 
     3.258e-11      16.0964 
    3.5937e-11      15.3548 
   3.96398e-11      14.6502 
   4.37242e-11      13.9808 
   4.85697e-11      13.3005 
   5.39493e-11      12.6573 
    5.9928e-11      12.0486 
   6.65657e-11      11.4734 
   7.39424e-11      10.9295 
   8.21325e-11      10.4159 
   9.12343e-11      9.93067 
    1.0134e-10      9.47292 
    1.1257e-10       9.0409 
   1.25038e-10      8.63386 
   1.38895e-10      8.25019 
    1.5428e-10       7.8892 
   1.71377e-10      7.54947 
   1.90359e-10      7.23035 
   2.11454e-10      6.93059 
   2.36533e-10      6.63142 
   2.64585e-10      6.35239 
   2.95964e-10      6.09251 
   3.31065e-10      5.85084 
   3.70329e-10      5.62647 
    4.1425e-10      5.41855 
   4.66625e-10      5.21476 
   5.25648e-10      5.02753 
   5.92107e-10      4.85608 
   6.71675e-10      4.69061 
   7.61935e-10      4.54066 
   8.70421e-10      4.39805 
    1.00132e-9      4.26409 
     1.1519e-9      4.14531 
    1.33441e-9       4.0355 
    1.55674e-9      3.93519 
    1.84174e-9      3.84106 
    2.19428e-9      3.75784 
    2.65106e-9      3.68259 
    3.27103e-9       3.6139 
    4.12179e-9       3.5532 
    5.34115e-9      3.49991 
    7.16811e-9      3.45399 
    1.01037e-8      3.41499 
    1.52741e-8      3.38275 
    2.52962e-8      3.35778 
       2.53e-8      3.35778 
