#ZVView-data-copy:  30-Jul-2024 17:04:31
#=======================================
#
#name:   ENDF/B-VIII.0: GE-72(N,EL)GE-72-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2527
#data...
#            X            Y
#          MeV        barns
         1e-11       60.107 
   1.10304e-11      57.2854 
   1.21669e-11      54.6016 
   1.34206e-11       52.049 
   1.48034e-11      49.6216 
   1.63287e-11      47.3134 
   1.80111e-11      45.1189 
   1.98669e-11      43.0329 
   2.19139e-11      41.0503 
   2.41719e-11      39.1663 
   2.66625e-11      37.3763 
   2.96172e-11      35.5576 
   3.28977e-11      33.8377 
   3.65434e-11      32.2103 
    4.0591e-11      30.6722 
   4.50892e-11      29.2179 
   5.00834e-11      27.8446 
   5.56336e-11      26.5471 
   6.17957e-11      25.3231 
   6.86438e-11       24.168 
    7.6247e-11      23.0795 
   8.46966e-11      22.0536 
   9.40778e-11      21.0882 
   1.04504e-10      20.1797 
   1.16078e-10      19.3264 
   1.28942e-10      18.5247 
   1.44235e-10      17.7246 
   1.61341e-10      16.9783 
   1.80476e-10      16.2833 
    2.0188e-10      15.6369 
   2.25822e-10      15.0368 
   2.52605e-10      14.4807 
   2.84542e-10      13.9356 
   3.20534e-10      13.4347 
    3.6106e-10       12.976 
   4.09579e-10      12.5334 
   4.64619e-10      12.1322 
   5.30773e-10      11.7506 
   6.06315e-10      11.4092 
   6.97495e-10      11.0894 
   8.08048e-10      10.7936 
    9.4268e-10      10.5234 
    1.11526e-9      10.2698 
    1.32867e-9      10.0457 
    1.60534e-9      9.84282 
    1.98076e-9       9.6577 
    2.49581e-9      9.49415 
    3.23431e-9      9.35049 
    4.34063e-9      9.22673 
    6.11796e-9      9.12161 
     9.2492e-9      9.03469 
    1.55318e-8      8.96597 
    2.52419e-8        8.927 
       2.53e-8      8.92686 
     6.5136e-8      8.88863 
     4.1979e-7      8.86583 
    5.81706e-5      8.49475 
   0.000130179      8.10291 
   0.000209607       7.7372 
   0.000251319      7.56907 
   0.000251744      7.56934 
   0.000332233      7.27491 
   0.000435891      6.95559 
   0.000554236      6.64913 
   0.000688267      6.35785 
   0.000735536      6.26739 
   0.000736915      6.28615 
   0.000737782       6.3059 
   0.000739611      6.26214 
   0.000870663      6.02991 
    0.00105042      5.76057 
    0.00126554      5.48574 
    0.00155161      5.16878 
    0.00204955      4.65255 
    0.00218116      4.50196 
    0.00218497      4.51042 
     0.0021862      4.52833 
    0.00218682      4.56007 
    0.00218713      4.59444 
    0.00218743      4.65331 
    0.00218771      4.73946 
    0.00218789      4.82153 
    0.00218808      4.92895 
    0.00218825      5.05409 
     0.0021884      5.19331 
    0.00218856      5.35943 
    0.00218871      5.55443 
    0.00218886      5.77341 
    0.00218901      6.01417 
    0.00218922      6.42298 
    0.00218946      6.92494 
    0.00218999      8.10264 
    0.00219018      8.48334 
    0.00219034      8.77474 
     0.0021905       9.0199 
    0.00219066       9.2076 
     0.0021908      9.31845 
    0.00219094      9.37252 
      0.002191      9.37738 
    0.00219115      9.34357 
    0.00219128      9.26798 
    0.00219142       9.1234 
    0.00219155      8.95871 
    0.00219174       8.6376 
    0.00219186      8.41044 
    0.00219211      7.88727 
     0.0021926      6.77911 
    0.00219283      6.31796 
    0.00219304      5.93211 
    0.00219319      5.70568 
    0.00219333      5.50493 
    0.00219348      5.32304 
    0.00219363      5.16198 
    0.00219378      5.02729 
    0.00219394      4.91636 
    0.00219413      4.80665 
    0.00219436       4.7099 
    0.00219459      4.64246 
    0.00219494      4.57929 
     0.0021954      4.53656 
    0.00219617      4.50883 
     0.0021985      4.48619 
    0.00221166      4.45687 
    0.00231303      4.29995 
    0.00237773      4.17161 
    0.00242178      4.05843 
    0.00245547      3.94647 
    0.00247865       3.8483 
    0.00249969      3.73545 
    0.00251613      3.62311 
    0.00252632      3.53781 
    0.00253684      3.43216 
    0.00254473      3.33724 
    0.00255262      3.22405 
    0.00255788      3.13553 
    0.00256314      3.03343 
     0.0025684      2.91426 
    0.00257235      2.81079 
    0.00257629      2.69218 
    0.00258015      2.55785 
    0.00258262      2.46062 
    0.00258508      2.35276 
    0.00258755       2.2324 
     0.0025896      2.12079 
    0.00259125      2.02304 
    0.00259289      1.91676 
    0.00259454      1.80089 
    0.00259618      1.67424 
    0.00259782      1.53548 
    0.00259906      1.42265 
    0.00260029      1.30167 
    0.00260152      1.17206 
    0.00260275      1.03353 
    0.00260378     0.911294 
    0.00260481     0.783299 
    0.00260596     0.634411 
     0.0026076     0.418253 
    0.00260818     0.344773 
    0.00260861     0.291827 
    0.00260892     0.255703 
    0.00260918     0.227016 
    0.00260941     0.202027 
    0.00260958     0.185576 
    0.00260974     0.170004 
     0.0026099      0.15542 
    0.00261004     0.144382 
    0.00261019     0.132652 
     0.0026103     0.125486 
     0.0026104     0.118889 
    0.00261052     0.111782 
     0.0026106      0.10757 
    0.00261069     0.103809 
    0.00261079    0.0997784 
    0.00261088     0.096831 
    0.00261097    0.0945716 
    0.00261104    0.0933546 
    0.00261111    0.0925698 
     0.0026112    0.0922275 
    0.00261127    0.0925372 
    0.00261134      0.09329 
    0.00261142    0.0948734 
    0.00261149    0.0968351 
    0.00261155    0.0990698 
    0.00261162     0.101975 
    0.00261169     0.105899 
    0.00261177     0.110841 
    0.00261184      0.11666 
    0.00261192     0.123406 
    0.00261198     0.129503 
    0.00261204     0.135374 
     0.0026121     0.142721 
    0.00261217     0.151835 
    0.00261223     0.160728 
     0.0026123     0.171664 
    0.00261236     0.182255 
    0.00261242       0.1937 
    0.00261249     0.208407 
    0.00261257     0.224435 
    0.00261263     0.239829 
     0.0026127     0.256373 
    0.00261277     0.275154 
    0.00261284     0.297565 
    0.00261292     0.321819 
    0.00261301      0.35324 
    0.00261307     0.377685 
    0.00261314     0.403747 
     0.0026132     0.431505 
    0.00261328      0.46641 
    0.00261335     0.503937 
    0.00261343     0.544262 
     0.0026135     0.587557 
    0.00261359     0.637946 
    0.00261367     0.692305 
    0.00261375     0.750934 
    0.00261383     0.814139 
    0.00261391     0.875245 
    0.00261398     0.940607 
    0.00261406      1.01054 
    0.00261413      1.08536 
     0.0026142      1.16544 
    0.00261428      1.25114 
    0.00261435      1.34291 
    0.00261443      1.44116 
     0.0026145      1.54646 
    0.00261457       1.6593 
    0.00261465      1.78729 
    0.00261474      1.94029 
    0.00261482      2.10654 
    0.00261491      2.28733 
      0.002615      2.48414 
    0.00261508      2.69856 
    0.00261517      2.93254 
    0.00261526        3.188 
    0.00261534      3.46731 
    0.00261543        3.773 
    0.00261551        4.108 
     0.0026156      4.47549 
    0.00261569      4.87914 
    0.00261577      5.32284 
    0.00261586      5.81128 
    0.00261595      6.34926 
      0.002616      6.73816 
    0.00261607      7.21507 
    0.00261613      7.72915 
     0.0026162      8.28362 
    0.00261627      8.88168 
    0.00261633      9.52715 
     0.0026164      10.2237 
    0.00261646      10.9755 
    0.00261653       11.787 
    0.00261659      12.6631 
    0.00261666      13.6085 
    0.00261673      14.6287 
    0.00261679      15.7292 
    0.00261686      16.9162 
    0.00261692      18.1957 
    0.00261699      19.5744 
    0.00261705      21.0589 
    0.00261711      22.4509 
    0.00261717      23.9342 
    0.00261723      25.5144 
    0.00261729      27.1963 
    0.00261737      29.9226 
    0.00261746      32.9083 
    0.00261755      36.2218 
    0.00261764      39.9483 
    0.00261773      44.0207 
    0.00261782      48.4593 
    0.00261791      53.2849 
      0.002618      58.5155 
    0.00261808      63.5302 
    0.00261816      68.8906 
    0.00261824      74.6072 
    0.00261832      80.6868 
    0.00261842      89.3672 
    0.00261853      98.5614 
    0.00261863      108.393 
    0.00261874       118.85 
    0.00261884       129.91 
    0.00261898      145.284 
    0.00261912      161.526 
    0.00261933      187.614 
    0.00261988      258.621 
    0.00262008      282.452 
    0.00262026      302.042 
    0.00262038      314.417 
    0.00262051      325.929 
    0.00262067      337.188 
     0.0026208      344.718 
    0.00262093      350.088 
    0.00262105      352.859 
    0.00262119      354.049 
    0.00262131      353.026 
    0.00262142       350.53 
    0.00262152       346.59 
    0.00262166      339.886 
    0.00262182      329.493 
    0.00262199       315.61 
