#ZVView-data-copy:   1-Oct-2024 00:24:28
#=======================================
#
#name:   ENDF/B-VIII.0: O-17(N,EL)O-17-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  174
#data...
#            X            Y
#          MeV        barns
         1e-11      51.7838 
   1.10304e-11      49.3172 
   1.21669e-11      46.9691 
   1.34206e-11       44.734 
   1.48034e-11      42.6065 
   1.63287e-11      40.5814 
   1.80111e-11      38.6539 
   1.98669e-11      36.8194 
   2.19139e-11      35.0734 
   2.41719e-11      33.4117 
   2.66625e-11      31.8304 
   2.94097e-11      30.3257 
     3.244e-11      28.8938 
   3.57825e-11      27.5314 
   3.94694e-11      26.2352 
   4.35362e-11      25.0021 
   4.80221e-11      23.8291 
   5.29701e-11      22.7134 
    5.8428e-11      21.6523 
   6.44483e-11      20.6432 
   7.10888e-11      19.6838 
   7.84136e-11      18.7717 
   8.64931e-11      17.9047 
   9.54051e-11      17.0807 
   1.05235e-10      16.2977 
   1.16078e-10      15.5539 
   1.28942e-10      14.7981 
   1.43224e-10      14.0835 
   1.59096e-10      13.4074 
   1.76718e-10      12.7685 
   1.96302e-10      12.1644 
   2.18044e-10       11.594 
   2.42208e-10      11.0552 
   2.69035e-10       10.547 
    2.9885e-10      10.0675 
   3.31951e-10      9.61571 
   3.68737e-10      9.18996 
   4.09579e-10      8.78945 
   4.54969e-10      8.41262 
   5.05362e-10      8.05873 
   5.61366e-10      7.72639 
   6.27943e-10      7.39481 
   7.02416e-10      7.08564 
   7.85722e-10       6.7978 
   8.78907e-10      6.53022 
   9.83144e-10      6.28192 
    1.10745e-9      6.03816 
    1.24753e-9      5.81385 
    1.40526e-9      5.60808 
     1.5941e-9       5.4091 
    1.80831e-9      5.22842 
    2.05131e-9      5.06485 
    2.34338e-9      4.90945 
    2.69579e-9      4.76362 
    3.12292e-9      4.62843 
    3.64324e-9      4.50463 
    4.28024e-9      4.39264 
    5.06384e-9      4.29261 
    6.07541e-9      4.20106 
    7.39189e-9      4.11913 
    9.18441e-9      4.04519 
    1.16543e-8      3.98052 
    1.53158e-8      3.92302 
    2.09906e-8      3.87354 
    2.52419e-8      3.85105 
       2.53e-8       3.8508 
    3.79809e-8       3.8138 
    6.33363e-8      3.78426 
     1.2583e-7      3.76228 
    3.59836e-7      3.74779 
    3.81327e-6      3.74074 
    0.00152175         3.74 
    0.00158707         3.74 
     0.0016552         3.74 
    0.00173834         3.74 
     0.0017506         3.74 
    0.00187763         3.74 
    0.00191745         3.74 
    0.00193098         3.74 
    0.00199976         3.74 
    0.00201386         3.74 
    0.00202797         3.74 
    0.00204228         3.74 
    0.00215999         3.74 
    0.00220581         3.74 
    0.00222137         3.74 
    0.00225271         3.74 
    0.00238255         3.74 
    0.00239924         3.74 
    0.00241616         3.74 
    0.00245025         3.74 
    0.00253753         3.74 
    0.00255543         3.74 
    0.00259148         3.74 
    0.00276005         3.74 
    0.00277952         3.74 
    0.00279898         3.74 
    0.00281873         3.74 
     0.0028585         3.74 
    0.00296031         3.74 
     0.0029812         3.74 
     0.0102842      3.73656 
           0.1      2.65005 
           0.2      2.10003 
           0.3      1.85501 
      0.402822      1.70415 
      0.503527      1.60343 
      0.608345      1.52824 
      0.709704      1.47163 
      0.817009      1.42488 
      0.932103      1.38537 
       1.00705      1.36395 
             2       1.2166 
       3.04232      1.18788 
       4.60154      1.11173 
             5        1.093 
             7     0.917002 
       8.05643      0.85763 
       9.06349     0.815841 
            10        0.784 
       10.1411     0.779768 
       10.2842     0.775475 
       10.4292     0.771123 
       10.5764     0.766708 
       10.7256     0.762232 
       10.8769     0.757693 
            11        0.754 
       11.1552     0.751672 
       11.3126     0.749311 
       11.4722     0.746917 
        11.634      0.74449 
       11.7982     0.742028 
       11.9646     0.739531 
            12        0.739 
       12.1693     0.737138 
        12.341     0.735249 
       12.5151     0.733334 
       12.6917     0.731392 
       12.8707     0.729422 
            13        0.728 
       13.1834     0.726533 
       13.3694     0.725045 
        13.558     0.723536 
       13.7493     0.722006 
       13.9433     0.720454 
            14         0.72 
       14.1975     0.719012 
       14.3978     0.718011 
       14.6009     0.716995 
       14.8069     0.715965 
            15        0.715 
       15.2116     0.714365 
       15.4262     0.713721 
       15.6439     0.713068 
       15.8646     0.712406 
            16        0.712 
       16.2257     0.714032 
       16.4546     0.716092 
       16.6868     0.718181 
       16.9222       0.7203 
            17        0.721 
       17.2398     0.723638 
       17.4831     0.726314 
       17.7297     0.729027 
       17.9799     0.731778 
            18        0.732 
       18.2539     0.740025 
       18.5115     0.748163 
       18.7726     0.756415 
            19       0.7636 
       19.2681     0.773357 
       19.5399     0.783252 
       19.8156     0.793287 
            20          0.8 
//
#-------------------------------------------------------------------------------
