#ZVView-data-copy:   1-Oct-2024 00:16:28
#=======================================
#
#name:   ENDF/B-VIII.0: CA-42(N,EL)CA-42-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5405
#data...
#            X            Y
#          MeV        barns
         1e-11      10.8036 
   1.10304e-11      10.2924 
   1.21669e-11      9.80595 
   1.34206e-11      9.34308 
   1.48034e-11      8.90268 
   1.63287e-11      8.48368 
   1.80111e-11      8.08508 
   1.98669e-11      7.70591 
   2.19139e-11      7.34528 
   2.41719e-11       7.0023 
   2.66625e-11      6.67615 
   2.94097e-11      6.36605 
     3.244e-11      6.07125 
   3.57825e-11      5.79104 
   3.96848e-11      5.51036 
   4.37738e-11      5.25805 
   4.86223e-11      5.00178 
   5.40105e-11      4.75918 
   5.99929e-11       4.5298 
   6.66412e-11      4.31278 
   7.40225e-11      4.10774 
   8.22256e-11      3.91391 
   9.13331e-11      3.73092 
   1.01455e-10      3.55808 
   1.12692e-10      3.39509 
   1.25181e-10      3.24132 
   1.39046e-10      3.09649 
   1.54455e-10      2.96003 
   1.71562e-10      2.83169 
   1.90575e-10      2.71097 
   2.11683e-10      2.59764 
   2.35142e-10      2.49124 
   2.63029e-10      2.38512 
   2.94224e-10      2.28622 
   3.29119e-10      2.19419 
   3.68152e-10      2.10867 
   4.11814e-10      2.02936 
   4.63881e-10      1.95154 
   5.22557e-10      1.87998 
   5.88626e-10      1.81438 
   6.67726e-10      1.75099 
   7.57455e-10      1.69347 
   8.65304e-10       1.6387 
   9.88458e-10      1.58962 
    1.13711e-9      1.54359 
    1.31734e-9      1.50096 
    1.53683e-9      1.46197 
    1.80544e-9      1.42675 
    2.15104e-9      1.39409 
    2.58073e-9      1.36553 
    3.16195e-9      1.33917 
    3.95643e-9      1.31562 
    5.05579e-9      1.29523 
    6.69076e-9       1.2773 
    9.23451e-9      1.26203 
    1.35744e-8      1.24918 
    2.18568e-8      1.23882 
    2.52219e-8      1.23655 
       2.53e-8      1.23651 
    4.99137e-8      1.22927 
    1.40753e-7      1.22446 
    1.38101e-6      1.22183 
   0.000299617      1.16454 
   0.000647298       1.1074 
    0.00103102       1.0535 
    0.00144778      1.00339 
    0.00190914     0.955881 
    0.00243704     0.909391 
    0.00300392     0.866553 
    0.00367303     0.823088 
    0.00443542     0.780543 
