#ZVView-data-copy:  10-Jan-2025 23:26:39
#=======================================
#
#name:   ENDF/B-VIII.0: TL-203(N,EL)TL-203-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4824
#data...
#            X            Y
#          MeV        barns
         1e-11      38.1167 
   1.11082e-11       36.267 
   1.23386e-11      34.5182 
   1.37059e-11      32.8635 
    1.5224e-11      31.3001 
   1.69111e-11      29.8221 
   1.87842e-11      28.4268 
   2.08659e-11      27.1088 
    2.3177e-11      25.8658 
   2.57455e-11      24.6931 
   2.85971e-11      23.5885 
   3.17662e-11      22.5477 
   3.52847e-11      21.5688 
   3.91949e-11      20.6479 
   4.35362e-11      19.7833 
   4.83609e-11      18.9716 
   5.40964e-11      18.1619 
   6.05122e-11      17.4073 
   6.76889e-11      16.7049 
   7.57167e-11      16.0523 
   8.46966e-11      15.4469 
   9.54051e-11      14.8528 
   1.07473e-10      14.3065 
   1.21061e-10      13.8056 
   1.37329e-10      13.3216 
   1.55784e-10      12.8823 
   1.77965e-10       12.464 
   2.03293e-10      12.0891 
   2.33866e-10      11.7375 
   2.70934e-10      11.4119 
   3.16075e-10       11.114 
    3.7132e-10       10.845 
   4.42398e-10      10.5956 
   5.30773e-10      10.3775 
   6.50309e-10      10.1762 
   8.13708e-10      9.99641 
    1.03981e-9      9.84074 
    1.37607e-9      9.70384 
    1.89924e-9      9.58721 
    2.79181e-9      9.48913 
    4.49523e-9      9.41002 
    8.38521e-9      9.34981 
    2.08446e-8      9.30801 
    2.52419e-8      9.30304 
       2.53e-8      9.30299 
    1.88898e-7      9.27942 
    2.44049e-5      8.70032 
    4.34478e-5      8.18166 
    5.95462e-5      7.68573 
    7.34714e-5      7.20591 
    8.57128e-5      6.73755 
    9.72309e-5      6.24924 
   0.000107249      5.78243 
   0.000115843       5.3457 
   0.000124248      4.88367 
   0.000131157       4.4777 
   0.000138366      4.02526 
   0.000145918      3.52159 
   0.000153247        3.008 
   0.000165838      2.10299 
   0.000169364      1.85969 
   0.000171753      1.70251 
   0.000172956      1.62585 
    0.00017536        1.483 
     0.0001771       1.3891 
    0.00017826      1.33187 
    0.00017942      1.27972 
    0.00018058      1.23341 
    0.00018116      1.21234 
    0.00018232      1.17637 
   0.000183625      1.14545 
   0.000184495      1.13149 
   0.000185365      1.12348 
   0.000185945      1.12159 
   0.000186743      1.12438 
    0.00018754      1.13342 
    0.00018841      1.15134 
   0.000189062      1.17074 
   0.000189715      1.19573 
   0.000190368      1.22674 
    0.00019102      1.26424 
   0.000191673      1.30876 
   0.000192325      1.36084 
   0.000192978      1.42108 
    0.00019363      1.49012 
   0.000194283      1.56867 
   0.000194935      1.65749 
   0.000195588      1.75744 
    0.00019624      1.86945 
   0.000196893      1.99451 
   0.000197545      2.13372 
   0.000198197      2.28825 
    0.00019885      2.45939 
   0.000199503      2.64856 
   0.000200155      2.85734 
   0.000200807      3.08747 
    0.00020146      3.34085 
   0.000202112      3.61959 
   0.000202765        3.926 
   0.000203417      4.26259 
    0.00020407      4.63215 
   0.000204722       5.0378 
   0.000205404      5.50348 
   0.000205868      5.84695 
   0.000206564      6.40719 
   0.000207042      6.82627 
   0.000207536      7.28957 
   0.000208029      7.78778 
   0.000208521      8.32206 
      0.000209       8.8783 
