#ZVView-data-copy:   1-Oct-2024 00:21:42
#=======================================
#
#name:   ENDF/B-VIII.0: CA-46(N,EL)CA-46-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  441
#data...
#            X            Y
#          MeV        barns
         1e-11       34.782 
   1.10304e-11      33.1277 
   1.21669e-11      31.5531 
   1.34206e-11      30.0544 
   1.48034e-11       28.628 
   1.63287e-11      27.2704 
   1.80111e-11      25.9783 
   1.98669e-11      24.7488 
   2.19139e-11      23.5787 
   2.41719e-11      22.4653 
   2.66625e-11       21.406 
   2.94097e-11      20.3981 
     3.244e-11      19.4393 
   3.57825e-11      18.5272 
   3.94694e-11      17.6597 
   4.35362e-11      16.8346 
   4.80221e-11      16.0499 
   5.29701e-11      15.3039 
    5.8428e-11      14.5946 
   6.44483e-11      13.9204 
   7.10888e-11      13.2797 
   7.84136e-11      12.6708 
   8.64931e-11      12.0924 
   9.60781e-11      11.5047 
    1.0672e-10       10.949 
   1.18547e-10      10.4232 
   1.31677e-10      9.92635 
    1.4627e-10      9.45656 
   1.62471e-10        9.013 
   1.80476e-10      8.59398 
   2.00465e-10      8.19875 
   2.22681e-10      7.82578 
   2.47345e-10      7.47441 
   2.74756e-10      7.14327 
   3.05188e-10      6.83175 
   3.39009e-10      6.53863 
   3.76558e-10      6.26335 
   4.18288e-10      6.00483 
   4.67897e-10      5.74687 
   5.23389e-10      5.50635 
   5.85462e-10       5.2824 
   6.54897e-10      5.07421 
   7.32567e-10      4.88099 
   8.25188e-10      4.69131 
   9.29566e-10      4.51674 
    1.04709e-9      4.35659 
     1.1878e-9      4.20172 
    1.34742e-9      4.06107 
    1.52849e-9      3.93373 
    1.74612e-9      3.81273 
    2.00871e-9      3.69917 
    2.32697e-9       3.5939 
    2.71467e-9      3.49747 
    3.18932e-9      3.41023 
     3.7732e-9      3.33229 
    4.52695e-9      3.26095 
    5.50789e-9      3.19709 
    6.84355e-9      3.13946 
    8.68389e-9      3.08907 
    1.13322e-8      3.04537 
     1.5423e-8      3.00758 
    2.23571e-8      2.97467 
    2.52419e-8      2.96628 
       2.53e-8      2.96613 
    4.21898e-8      2.94033 
    7.23507e-8      2.92486 
    1.73669e-7      2.91013 
    2.36827e-6      2.90079 
   0.000984729          2.9 
   0.000994038      2.90381 
   0.000994665      2.91471 
   0.000995083      2.93857 
   0.000995292      2.96186 
   0.000995501      2.99797 
    0.00099571      3.05288 
   0.000995867      3.11124 
   0.000996024      3.18913 
   0.000996181      3.29195 
   0.000996285       3.3775 
    0.00099639      3.47918 
   0.000996494      3.59944 
   0.000996599      3.74094 
   0.000996703      3.90661 
   0.000996808      4.09959 
   0.000996912      4.32322 
   0.000996991      4.51319 
   0.000997069      4.72394 
   0.000997147      4.95706 
   0.000997226      5.21416 
   0.000997304      5.49687 
   0.000997383       5.8068 
   0.000997464      6.16099 
   0.000997546      6.54831 
   0.000997628      6.97048 
    0.00099771      7.42905 
   0.000997792      7.92548 
   0.000997873      8.46102 
   0.000997955      9.03676 
   0.000998037      9.65352 
   0.000998146      10.5405 
   0.000998255      11.5019 
   0.000998364      12.5371 
   0.000998473      13.6445 
   0.000998609      15.1261 
   0.000998746      16.7071 
   0.000998885      18.4138 
   0.000999079        20.91 
   0.000999661      28.7266 
    0.00099991      31.9185 
    0.00100012      34.3704 
    0.00100033      36.6477 
     0.0010005      38.2065 
    0.00100066       39.577 
    0.00100083      40.7578 
    0.00100099      41.7542 
    0.00100121      42.8163 
    0.00100143      43.6097 
    0.00100165      44.1801 
    0.00100198      44.7195 
    0.00100242      45.0609 
    0.00100331      45.2189 
    0.00100375       45.225 
         0.002      34.9778 
         0.003      28.5479 
         0.004      24.7152 
         0.005      22.1027 
    0.00604114      20.1124 
    0.00704768      18.6194 
    0.00805643      17.4144 
    0.00906349      16.4181 
          0.01      15.6282 
          0.02      11.0688 
          0.03      9.06187 
          0.04      7.87281 
          0.05      7.06609 
     0.0604114      6.45559 
     0.0704767      6.00007 
     0.0805643      5.63474 
     0.0906349      5.33484 
           0.1      5.09809 
          0.15      4.26044 
           0.2      3.78591 
      0.251764      3.47537 
      0.302057      3.27093 
      0.352384      3.12792 
      0.402822      3.02696 
      0.456349      2.95353 
      0.507054      2.90686 
      0.561694      2.87654 
      0.617049      2.86165 
          0.65       2.8579 
      0.730047      2.86778 
      0.844475      2.90883 
      0.976995      2.98494 
       1.15531      3.11047 
       1.37554      3.27658 
           1.4      3.06276 
           1.6      2.98799 
       1.95399      3.03515 
       2.15967      3.04792 
           2.2      3.04849 
           2.4      3.04259 
       2.47629        3.044 
           2.6      2.98671 
       2.64977      2.98075 
       2.87956      2.92226 
             3      2.89566 
       3.08894       2.9075 
           3.2      2.79086 
       3.47229      2.70724 
           3.6      2.67203 
       3.69333      2.68664 
       3.72254      2.67445 
           3.8      2.58479 
       3.94442      2.54631 
             4      2.51773 
       4.03874      2.51799 
       4.07553      2.50751 
           4.2      2.43633 
       4.35453      2.40182 
           4.4      2.36941 
       4.50373      2.36556 
