#ZVView-data-copy:  31-Dec-2024 18:42:10
#=======================================
#
#name:   ENDF/B-VIII.0: CA-48(N,EL)CA-48-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  1030
#data...
#            X            Y
#          MeV        barns
      0.160916     0.883402 
      0.160927      0.96313 
      0.160938      1.04899 
      0.160949      1.14142 
       0.16096       1.2409 
      0.160971      1.34792 
      0.160982      1.46302 
      0.160994      1.58675 
      0.161005      1.71971 
      0.161016      1.86254 
      0.161027      2.01587 
      0.161038      2.18043 
      0.161049      2.35693 
       0.16106      2.54612 
      0.161071      2.74877 
      0.161082      2.96568 
      0.161093      3.19762 
      0.161106      3.49702 
       0.16112      3.82061 
      0.161133      4.16975 
      0.161146      4.54561 
       0.16116      4.94932 
      0.161173      5.38169 
      0.161186      5.84328 
      0.161199      6.33421 
      0.161217       7.0339 
      0.161235      7.78264 
      0.161251      8.50815 
      0.161275      9.65479 
      0.161337       12.651 
      0.161359      13.6737 
      0.161378      14.4756 
      0.161396       15.188 
      0.161413      15.7228 
       0.16143      16.1669 
      0.161446      16.5088 
      0.161462      16.7546 
      0.161478      16.9052 
      0.161497      16.9653 
      0.161518      16.9033 
      0.161536      16.7574 
      0.161553      16.5377 
      0.161577      16.1534 
      0.161612      15.4465 
       0.16166      14.3764 
       0.16173      12.7521 
      0.161778       11.754 
      0.161813      11.0689 
      0.161849       10.441 
      0.161884      9.86863 
      0.161919      9.34848 
      0.161955       8.8764 
       0.16199      8.44796 
      0.162037      7.93713 
      0.162085      7.48663 
      0.162132        7.088 
      0.162179      6.73394 
      0.162226      6.41822 
      0.162273      6.13553 
      0.162321      5.88143 
      0.162391      5.54577 
      0.162462      5.25567 
      0.162533        5.003 
      0.162598      4.79891 
      0.162694       4.5371 
      0.162787      4.31915 
       0.16287      4.14967 
      0.162945      4.01255 
      0.163052      3.84111 
       0.16317      3.67786 
      0.163288      3.53662 
      0.163407      3.41332 
      0.163584      3.25533 
      0.163761      3.12288 
      0.163938      3.01035 
      0.164115      2.91362 
      0.164351      2.80403 
      0.164616      2.70155 
      0.164926       2.6024 
      0.165291      2.50738 
      0.165679      2.42515 
      0.166121      2.34871 
      0.166638      2.27677 
      0.167228      2.21074 
      0.167965      2.14555 
      0.168777      2.08937 
       0.16981      2.03412 
      0.171137       1.9804 
       0.17276       1.9321 
      0.174678      1.89027 
      0.177334      1.84856 
      0.180875      1.81021 
      0.185596      1.77569 
        0.1917      1.74557 
      0.201088      1.71503 
      0.214839      1.68619 
      0.236092      1.65701 
       0.26422      1.63192 
      0.276097       1.6276 
      0.283598        1.633 
      0.287786      1.64551 
      0.290598      1.66453 
      0.292474      1.68774 
      0.293849      1.71494 
      0.294974      1.74843 
      0.295849      1.78552 
      0.296599      1.82939 
      0.297255       1.8813 
      0.297724      1.92943 
      0.298149      1.98429 
      0.298574      2.05243 
      0.298899      2.11709 
      0.299199      2.18912 
        0.2995      2.27623 
        0.2997      2.34473 
        0.2999      2.42341 
        0.3001      2.51428 
        0.3003      2.61981 
        0.3005      2.74308 
       0.30065      2.84981 
        0.3008         2.97 
       0.30095      3.10747 
        0.3011      3.26334 
       0.30125      3.44294 
       0.30135      3.57683 
       0.30145      3.72387 
       0.30155      3.88553 
       0.30165      4.06346 
       0.30175       4.2594 
       0.30185      4.47527 
       0.30195      4.71304 
       0.30205      4.97475 
       0.30215      5.26236 
       0.30225      5.57763 
       0.30235      5.92189 
       0.30245      6.29578 
       0.30255       6.6988 
       0.30265      7.12884 
        0.3028      7.81857 
      0.303069      9.07214 
      0.303162      9.47684 
      0.303237      9.77508 
      0.303312      10.0327 
      0.303387       10.244 
      0.303464      10.4038 
      0.303541      10.5024 
       0.30362       10.535 
      0.303697      10.4952 
      0.303775      10.3901 
       0.30385      10.2293 
      0.303925      10.0178 
         0.304      9.75967 
      0.304075      9.47281 
      0.304188       8.9956 
       0.30455      7.36842 
        0.3047      6.74497 
        0.3048      6.36182 
        0.3049      6.00616 
         0.305      5.67816 
        0.3051      5.37711 
        0.3052      5.10166 
        0.3053      4.85018 
        0.3054      4.62085 
        0.3055      4.41183 
        0.3056      4.22131 
        0.3057      4.04757 
        0.3058      3.88902 
       0.30595      3.67708 
        0.3061      3.49034 
       0.30625      3.32731 
        0.3064      3.18276 
       0.30655      3.05566 
        0.3067      2.94222 
        0.3069      2.81036 
        0.3071      2.69668 
        0.3073      2.59811 
        0.3075      2.51216 
      0.307801       2.4026 
      0.308101      2.31169 
      0.308401      2.23549 
      0.308751      2.16129 
      0.309151      2.09153 
      0.309632      2.02378 
      0.310101      1.97067 
      0.310726      1.91453 
      0.311351      1.87017 
      0.312226      1.82276 
      0.313226      1.78251 
      0.314476      1.74596 
      0.316101      1.71271 
      0.318321      1.68258 
      0.321258      1.65716 
       0.32579      1.63373 
      0.332979      1.61291 
      0.346064      1.59246 
      0.363728       1.5781 
      0.367892       1.5772 
       0.37549      1.58202 
      0.380133      1.59458 
      0.383214      1.61268 
      0.385545      1.63679 
      0.387211      1.66373 
      0.388543      1.69472 
      0.389709      1.73244 
      0.390708      1.77619 
      0.391541      1.82402 
      0.392207      1.87289 
      0.392852      1.93231 
      0.393373      1.99125 
      0.393806      2.05026 
      0.394205      2.11514 
      0.394588      2.18749 
      0.394938      2.26524 
      0.395338      2.37115 
      0.395604      2.45392 
      0.395871      2.54848 
      0.396137      2.65703 
      0.396404      2.78228 
       0.39667      2.92759 
       0.39687      3.05265 
       0.39707      3.19257 
       0.39727      3.35182 
      0.397469      3.53117 
      0.397669      3.73682 
      0.397803      3.88937 
      0.397936      4.05634 
      0.398069      4.23935 
      0.398202      4.44024 
      0.398335      4.66104 
      0.398469      4.90402 
      0.398602      5.17165 
      0.398669      5.31372 
      0.398802      5.62328 
      0.398935      5.96461 
      0.399068      6.34082 
      0.399202      6.75502 
      0.399335      7.21017 
      0.399468      7.70876 
      0.399601      8.25251 
      0.399734      8.84175 
      0.399868      9.47486 
      0.400001      10.1479 
      0.400501      12.8166 
      0.400634      13.4735 
