#ZVView-data-copy:   1-Oct-2024 17:18:26
#=======================================
#
#name:   ENDF/B-VIII.0: W-184(N,EL)W-184-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  19007
#data...
#            X            Y
#          MeV        barns
         1e-11      31.5513 
   1.11082e-11      30.0126 
   1.23386e-11      28.5575 
   1.37059e-11      27.1803 
    1.5224e-11      25.8787 
   1.69111e-11      24.6476 
   1.87842e-11       23.485 
   2.08659e-11      22.3863 
    2.3177e-11      21.3496 
   2.57455e-11       20.371 
   2.85971e-11      19.4487 
   3.17662e-11      18.5791 
   3.52847e-11      17.7605 
   3.91949e-11        16.99 
   4.35362e-11      16.2659 
   4.83609e-11      15.5854 
   5.37174e-11      14.9472 
   6.00883e-11      14.3103 
   6.72147e-11      13.7168 
   7.51862e-11      13.1644 
   8.41032e-11      12.6512 
   9.40778e-11      12.1752 
   1.05978e-10       11.708 
   1.19377e-10      11.2788 
   1.34477e-10      10.8849 
   1.52548e-10      10.5045 
   1.73048e-10      10.1594 
   1.97676e-10      9.83093 
   2.25822e-10      9.53636 
   2.59783e-10      9.26027 
   3.00943e-10      9.00466 
   3.51084e-10      8.77084 
   4.12469e-10       8.5596 
   4.91398e-10      8.36392 
   5.89562e-10      8.19273 
   7.22375e-10      8.03469 
   9.03882e-10       7.8936 
    1.15498e-9      7.77146 
    1.52849e-9      7.66402 
     2.1096e-9      7.57248 
     3.1012e-9      7.49548 
    4.99339e-9      7.43337 
    9.31399e-9      7.38606 
    2.31534e-8      7.35305 
    2.52419e-8      7.35117 
       2.53e-8      7.35112 
    1.60786e-7      7.33006 
    3.95708e-5      6.10611 
    5.69596e-5      5.52686 
    6.93022e-5      5.08015 
     7.8615e-5      4.71195 
    8.55089e-5       4.4107 
    9.03961e-5      4.17079 
    9.35538e-5       3.9918 
    9.54325e-5      3.86584 
    9.67789e-5      3.75695 
    9.77287e-5      3.66231 
    9.83381e-5      3.58778 
    9.89234e-5      3.49917 
    9.93723e-5      3.41289 
    9.96845e-5      3.33807 
    9.99381e-5      3.26395 
   0.000100133      3.19545 
   0.000100328      3.11311 
   0.000100524      3.01137 
   0.000100665      2.92057 
   0.000100797      2.81805 
   0.000100885      2.73686 
   0.000100972      2.64223 
   0.000101046      2.55034 
   0.000101119       2.4435 
   0.000101192      2.31851 
   0.000101265      2.17495 
   0.000101326      2.05137 
    0.00010135      2.00787 
   0.000101371      1.97879 
   0.000101386       1.9627 
   0.000101406      1.95487 
   0.000101418       1.9589 
    0.00010143      1.97128 
   0.000101442      1.99376 
   0.000101454      2.02833 
   0.000101466      2.07724 
   0.000101478      2.14303 
   0.000101485      2.19764 
   0.000101496      2.28097 
   0.000101505      2.37187 
   0.000101514      2.47883 
   0.000101523      2.60355 
   0.000101532      2.74776 
   0.000101541      2.91333 
    0.00010155      3.10214 
    0.00010156      3.31619 
   0.000101569      3.55742 
