Energy	   (a,n)	   S.F.	   tot
2.5000e+00 3.0450e-09 1.4470e-12 3.0470e-09
2.4000e+00 3.1790e-09 1.5330e-12 3.1800e-09
2.3000e+00 3.3230e-09 1.6220e-12 3.3240e-09
2.2000e+00 3.4750e-09 1.7130e-12 3.4760e-09
2.0000e+00 3.7340e-09 1.9000e-12 3.7360e-09
1.9000e+00 3.8640e-09 1.9950e-12 3.8660e-09
1.8000e+00 3.9660e-09 2.0900e-12 3.9680e-09
1.7000e+00 4.0830e-09 2.1840e-12 4.0850e-09
1.6000e+00 4.2120e-09 2.2760e-12 4.2140e-09
1.5000e+00 4.3380e-09 2.3650e-12 4.3410e-09
1.4000e+00 4.4670e-09 2.4490e-12 4.4700e-09
1.2000e+00 4.6510e-09 2.5960e-12 4.6540e-09
1.1000e+00 4.7040e-09 2.6530e-12 4.7070e-09
1.0000e+00 4.7420e-09 2.6960e-12 4.7450e-09
9.0000e-01 4.7810e-09 2.7210e-12 4.7840e-09
8.0000e-01 4.7760e-09 2.7240e-12 4.7780e-09
7.0000e-01 4.6960e-09 2.6980e-12 4.6980e-09
6.0000e-01 4.5300e-09 2.6360e-12 4.5330e-09
4.0000e-01 3.7500e-09 2.3590e-12 3.7530e-09
3.0000e-01 3.1100e-09 2.1050e-12 3.1120e-09
2.0000e-01 2.2770e-09 1.7130e-12 2.2790e-09
