Energy	   (a,n)	   S.F.	   tot
1.0000e+01 4.9160e-19 3.8210e-14 3.8210e-14
9.9000e+00 8.5750e-19 4.2700e-14 4.2710e-14
9.8000e+00 1.1930e-18 4.7780e-14 4.7780e-14
9.7000e+00 1.6050e-18 5.3480e-14 5.3480e-14
9.6000e+00 1.7330e-14 5.9850e-14 7.7180e-14
9.5000e+00 2.8040e-13 6.6830e-14 3.4720e-13
9.4000e+00 6.3510e-13 7.4890e-14 7.1000e-13
9.2000e+00 1.3720e-12 9.3510e-14 1.4650e-12
9.1000e+00 1.7240e-12 1.0440e-13 1.8290e-12
9.0000e+00 2.1360e-12 1.1670e-13 2.2520e-12
8.9000e+00 2.5700e-12 1.3030e-13 2.7000e-12
8.8000e+00 3.0450e-12 1.4540e-13 3.1910e-12
8.7000e+00 3.4600e-12 1.6240e-13 3.6220e-12
8.6000e+00 3.7920e-12 1.8130e-13 3.9730e-12
8.4000e+00 4.4960e-12 2.2550e-13 4.7210e-12
8.3000e+00 5.0300e-12 2.5160e-13 5.2820e-12
8.2000e+00 5.5640e-12 2.8030e-13 5.8440e-12
8.1000e+00 6.3280e-12 3.1250e-13 6.6410e-12
8.0000e+00 7.2260e-12 3.4820e-13 7.5740e-12
7.9000e+00 8.9690e-12 3.8790e-13 9.3570e-12
7.8000e+00 1.0330e-11 4.3180e-13 1.0760e-11
7.6000e+00 1.2150e-11 5.3490e-13 1.2690e-11
7.5000e+00 1.3650e-11 5.9510e-13 1.4240e-11
7.4000e+00 1.6090e-11 6.6190e-13 1.6760e-11
7.3000e+00 1.8560e-11 7.3590e-13 1.9300e-11
7.2000e+00 2.1760e-11 8.1780e-13 2.2570e-11
7.1000e+00 2.4660e-11 9.0860e-13 2.5570e-11
7.0000e+00 2.7830e-11 1.0090e-12 2.8840e-11
6.8000e+00 3.3030e-11 1.2430e-12 3.4270e-11
6.7000e+00 3.4820e-11 1.3790e-12 3.6200e-11
6.6000e+00 3.6020e-11 1.5300e-12 3.7550e-11
6.5000e+00 3.7120e-11 1.6960e-12 3.8810e-11
6.4000e+00 3.8830e-11 1.8790e-12 4.0710e-11
6.3000e+00 3.9240e-11 2.0810e-12 4.1320e-11
6.2000e+00 3.9930e-11 2.3050e-12 4.2240e-11
6.0000e+00 4.0710e-11 2.8220e-12 4.3530e-11
5.9000e+00 4.1140e-11 3.1200e-12 4.4260e-11
5.8000e+00 4.1820e-11 3.4480e-12 4.5270e-11
5.7000e+00 4.1550e-11 3.8090e-12 4.5360e-11
5.6000e+00 4.1890e-11 4.2060e-12 4.6090e-11
5.5000e+00 4.6270e-11 4.6420e-12 5.0910e-11
5.4000e+00 5.2620e-11 5.1210e-12 5.7750e-11
5.2000e+00 5.7740e-11 6.2200e-12 6.3960e-11
5.1000e+00 5.8140e-11 6.8500e-12 6.4990e-11
5.0000e+00 5.7240e-11 7.5400e-12 6.4780e-11
4.9000e+00 5.8050e-11 8.2930e-12 6.6340e-11
4.8000e+00 5.7990e-11 9.1170e-12 6.7110e-11
4.7000e+00 5.5560e-11 1.0020e-11 6.5580e-11
4.6000e+00 5.3170e-11 1.1000e-11 6.4170e-11
4.4000e+00 5.1590e-11 1.3230e-11 6.4810e-11
4.3000e+00 5.1830e-11 1.4490e-11 6.6320e-11
4.2000e+00 5.1570e-11 1.5870e-11 6.7440e-11
4.1000e+00 5.1180e-11 1.7360e-11 6.8540e-11
4.0000e+00 5.0610e-11 1.8970e-11 6.9580e-11
3.9000e+00 4.9670e-11 2.0720e-11 7.0390e-11
3.8000e+00 4.8300e-11 2.2610e-11 7.0910e-11
3.6000e+00 3.3680e-11 2.6850e-11 6.0530e-11
3.5000e+00 2.8280e-11 2.9220e-11 5.7500e-11
3.4000e+00 2.4860e-11 3.1760e-11 5.6620e-11
3.3000e+00 2.0640e-11 3.4490e-11 5.5130e-11
3.2000e+00 1.6560e-11 3.7410e-11 5.3970e-11
3.1000e+00 9.4220e-12 4.0530e-11 4.9950e-11
3.0000e+00 3.6020e-12 4.3850e-11 4.7460e-11
2.8000e+00 2.7950e-12 5.1150e-11 5.3940e-11
2.7000e+00 4.5910e-12 5.5120e-11 5.9710e-11
2.6000e+00 6.4550e-12 5.9310e-11 6.5760e-11
2.5000e+00 8.3010e-12 6.3710e-11 7.2010e-11
2.4000e+00 1.0170e-11 6.8330e-11 7.8500e-11
2.3000e+00 1.2290e-11 7.3150e-11 8.5440e-11
2.2000e+00 1.4470e-11 7.8150e-11 9.2620e-11
2.0000e+00 1.8680e-11 8.8640e-11 1.0730e-10
1.9000e+00 2.0660e-11 9.4060e-11 1.1470e-10
1.8000e+00 2.2920e-11 9.9560e-11 1.2250e-10
1.7000e+00 2.5390e-11 1.0510e-10 1.3050e-10
1.6000e+00 2.8570e-11 1.1050e-10 1.3910e-10
1.5000e+00 3.1840e-11 1.1590e-10 1.4770e-10
1.4000e+00 3.5290e-11 1.2100e-10 1.5630e-10
1.2000e+00 4.4690e-11 1.3030e-10 1.7500e-10
1.1000e+00 5.0000e-11 1.3410e-10 1.8410e-10
1.0000e+00 5.1140e-11 1.3710e-10 1.8820e-10
9.0000e-01 5.1210e-11 1.3910e-10 1.9030e-10
8.0000e-01 5.0010e-11 1.3980e-10 1.8990e-10
7.0000e-01 4.9480e-11 1.3900e-10 1.8850e-10
6.0000e-01 5.2200e-11 1.3620e-10 1.8840e-10
4.0000e-01 5.1890e-11 1.2210e-10 1.7400e-10
3.0000e-01 4.6920e-11 1.0870e-10 1.5570e-10
2.0000e-01 3.8360e-11 8.8220e-11 1.2660e-10
