#ZVView-data-copy:  30-Jul-2024 17:06:49
#=======================================
#
#name:   ENDF/B-VIII.0: GE-76(N,EL)GE-76-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2398
#data...
#            X            Y
#          MeV        barns
         1e-11      55.2054 
   1.10304e-11      52.6166 
   1.21669e-11      50.1544 
   1.34206e-11      47.8127 
   1.48034e-11       45.586 
   1.64027e-11      43.3738 
   1.80927e-11      41.3658 
    1.9957e-11      39.4572 
   2.20133e-11      37.6434 
   2.42815e-11      35.9201 
   2.69723e-11      34.1688 
   2.99598e-11      32.5126 
   3.32799e-11      30.9451 
   3.69661e-11      29.4636 
   4.10626e-11      28.0625 
   4.56108e-11      26.7393 
   5.06654e-11      25.4889 
   5.62772e-11      24.3091 
   6.25137e-11      23.1954 
   6.94379e-11      22.1457 
   7.71329e-11      21.1561 
   8.56764e-11      20.2247 
   9.51709e-11      19.3479 
   1.05712e-10      18.5239 
   1.17428e-10      17.7496 
   1.30434e-10      17.0235 
   1.45903e-10      16.2989 
   1.63207e-10      15.6236 
   1.82563e-10      14.9953 
   2.04215e-10      14.4114 
   2.28434e-10        13.87 
    2.5733e-10      13.3386 
   2.89864e-10      12.8503 
    3.2653e-10      12.4024 
   3.70409e-10      11.9698 
   4.20184e-10      11.5773 
   4.79987e-10      11.2037 
   5.48329e-10      10.8687 
   6.30789e-10      10.5547 
   7.30732e-10       10.264 
   8.52482e-10      9.99812 
    1.00153e-9      9.75785 
    1.19319e-9      9.53527 
    1.44164e-9      9.33368 
    1.76632e-9      9.15516 
    2.21013e-9      8.99575 
    2.84403e-9      8.85427 
    3.76375e-9      8.73371 
    5.23133e-9      8.62913 
    7.74413e-9       8.5421 
    1.25565e-8      8.47265 
    2.37529e-8      8.41996 
     2.5299e-8      8.41635 
       2.53e-8      8.41635 
    6.74561e-8      8.38162 
    5.03649e-7      8.36295 
   0.000239452      7.97411 
   0.000332171      7.77831 
   0.000387798       7.6139 
   0.000422846      7.46561 
   0.000448956      7.30696 
   0.000467841      7.14236 
   0.000480878      6.98483 
   0.000489573      6.84698 
   0.000497525      6.68597 
   0.000504965      6.48992 
   0.000509615      6.33489 
   0.000514265      6.14434 
   0.000517752      5.96969 
    0.00052124      5.75831 
   0.000523565      5.59075 
    0.00052589      5.39588 
   0.000528215      5.16592 
   0.000529959      4.96456 
   0.000531703      4.73213 
   0.000532865      4.55626 
   0.000534028      4.36041 
    0.00053519      4.14111 
   0.000536178      3.93313 
   0.000537166      3.70204 
   0.000538154      3.44425 
   0.000538895      3.23084 
   0.000539724      2.96892 
   0.000540305      2.76877 
   0.000540886      2.55392 
   0.000541468      2.32334 
   0.000542049      2.07619 
   0.000542514      1.86628 
   0.000542979      1.64574 
   0.000543473      1.40074 
   0.000544054      1.10174 
   0.000544708     0.761892 
   0.000544962     0.633487 
   0.000545158     0.538092 
   0.000545304     0.470457 
    0.00054542     0.418775 
   0.000545536     0.369751 
   0.000545609     0.340698 
   0.000545682     0.313043 
   0.000545754     0.286949 
   0.000545827     0.262598 
   0.000545878     0.246694 
   0.000545929     0.231814 
   0.000545979     0.218039 
    0.00054603     0.205453 
   0.000546085     0.193391 
   0.000546139     0.182919 
    0.00054619     0.174694 
   0.000546234     0.168923 
   0.000546277     0.164413 
   0.000546314     0.161676 
   0.000546346     0.160051 
   0.000546384     0.159219 
   0.000546393     0.159186 
   0.000546415     0.159409 
   0.000546452     0.160694 
   0.000546481     0.162582 
    0.00054651      0.16527 
   0.000546539     0.168793 
   0.000546568     0.173185 
   0.000546595     0.178127 
   0.000546622     0.183899 
   0.000546652     0.191008 
   0.000546682     0.199687 
   0.000546713     0.209577 
   0.000546742     0.220043 
   0.000546771     0.231682 
   0.000546797     0.242868 
   0.000546822     0.255027 
   0.000546855     0.272153 
   0.000546888     0.291034 
   0.000546924      0.31418 
    0.00054696     0.339733 
   0.000546997      0.36783 
   0.000547033     0.398616 
   0.000547066     0.428754 
   0.000547098     0.461314 
   0.000547133     0.498456 
   0.000547171     0.543008 
   0.000547209      0.59146 
   0.000547251     0.649292 
   0.000547295     0.715319 
   0.000547338      0.78757 
   0.000547374     0.852875 
   0.000547411     0.923118 
   0.000547447     0.998618 
