#ZVView-data-copy:  30-Jul-2024 17:25:51
#=======================================
#
#name:   ENDF/B-VIII.0: SI-29(N,EL)SI-29-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4205
#data...
#            X            Y
#          MeV        barns
     0.0384195      3.19463 
      0.038443      3.29444 
     0.0384665      3.41483 
       0.03849       3.5618 
     0.0385057      3.67854 
     0.0385214      3.81401 
      0.038537      3.97239 
     0.0385527       4.1591 
     0.0385644       4.3219 
     0.0385761      4.50631 
     0.0385876      4.71734 
     0.0385992      4.96155 
     0.0386108      5.24591 
     0.0386185      5.46215 
     0.0386262      5.70395 
     0.0386328      5.93653 
     0.0386413       6.2668 
     0.0386497      6.64466 
     0.0386553      6.92726 
     0.0386609      7.23827 
     0.0386665      7.58183 
     0.0386721      7.96269 
     0.0386788      8.47603 
     0.0386847      8.98378 
     0.0386905      9.55587 
     0.0386964      10.2032 
     0.0387003      10.6829 
     0.0387043      11.2065 
      0.038708      11.7492 
     0.0387133      12.6068 
     0.0387168      13.2423 
     0.0387203      13.9357 
     0.0387238      14.6937 
     0.0387274       15.524 
     0.0387309      16.4352 
     0.0387344      17.4371 
     0.0387385      18.7357 
     0.0387426      20.1932 
     0.0387454      21.2645 
     0.0387481      22.4243 
     0.0387509      23.6808 
     0.0387536      25.0432 
     0.0387563      26.5207 
     0.0387599      28.6059 
     0.0387634      30.9203 
     0.0387669       33.486 
     0.0387704      36.3237 
      0.038774      39.4505 
     0.0387765      41.8948 
     0.0387793      44.7027 
     0.0387834      49.2439 
     0.0387875      54.1358 
     0.0387997      69.5561 
     0.0388037      74.1656 
     0.0388064      76.8919 
     0.0388091      79.2396 
     0.0388117      81.1273 
     0.0388144      82.4854 
      0.038817      83.2613 
      0.038819      83.4417 
     0.0388218      83.1197 
     0.0388246      82.1325 
     0.0388274       80.524 
     0.0388302      78.3625 
      0.038833      75.7344 
     0.0388363      72.0677 
     0.0388412      66.1507 
     0.0388498      55.3654 
     0.0388546      49.5953 
     0.0388582      45.6926 
     0.0388617      42.0757 
     0.0388652       38.756 
     0.0388687      35.7304 
     0.0388723      32.9865 
      0.038875      31.0353 
     0.0388777      29.2337 
     0.0388805      27.5714 
     0.0388832      26.0382 
      0.038886      24.6237 
     0.0388887      23.3186 
     0.0388915      22.1137 
     0.0388942      21.0005 
     0.0388977      19.6913 
     0.0389012      18.5058 
     0.0389048      17.4302 
     0.0389083      16.4526 
     0.0389118      15.5623 
     0.0389153      14.7501 
     0.0389189      14.0075 
     0.0389224      13.3274 
     0.0389263       12.637 
     0.0389302       12.008 
     0.0389341      11.4337 
     0.0389381       10.908 
     0.0389439      10.1998 
     0.0389498      9.57483 
     0.0389562      8.97773 
     0.0389611      8.56712 
      0.038966      8.19349 
     0.0389733      7.69343 
     0.0389806      7.25536 
      0.038988      6.86921 
     0.0389929      6.63655 
     0.0390005       6.3081 
     0.0390082       6.0166 
     0.0390158      5.75693 
     0.0390234      5.52469 
     0.0390349      5.21935 
     0.0390463      4.95681 
     0.0390579      4.72791 
     0.0390696      4.52574 
     0.0390814      4.34927 
     0.0390931      4.19434 
     0.0391088      4.01555 
     0.0391245      3.86286 
     0.0391401      3.73142 
     0.0391558      3.61748 
     0.0391793      3.47302 
     0.0392028      3.35375 
     0.0392263      3.25412 
      0.039251       3.1663 
     0.0392782      3.08502 
     0.0393144       2.9964 
     0.0393506      2.92499 
     0.0394064      2.83927 
     0.0394652      2.77157 
     0.0395239       2.7197 
     0.0395827      2.67908 
      0.039661      2.63729 
     0.0397785      2.59229 
     0.0399058      2.55866 
