Energy	   (a,n)	   S.F.	   tot
1.0000e+01 5.6970e-16 3.8210e-14 3.8780e-14
9.9000e+00 8.8960e-16 4.2700e-14 4.3590e-14
9.8000e+00 1.2260e-15 4.7780e-14 4.9010e-14
9.7000e+00 1.5730e-15 5.3480e-14 5.5050e-14
9.6000e+00 1.9320e-15 5.9850e-14 6.1780e-14
9.5000e+00 2.3180e-15 6.6830e-14 6.9150e-14
9.4000e+00 2.7170e-15 7.4890e-14 7.7610e-14
9.2000e+00 3.5510e-15 9.3510e-14 9.7060e-14
9.1000e+00 3.9850e-15 1.0440e-13 1.0840e-13
9.0000e+00 4.4320e-15 1.1670e-13 1.2110e-13
8.9000e+00 4.8870e-15 1.3030e-13 1.3520e-13
8.8000e+00 5.3510e-15 1.4540e-13 1.5080e-13
8.7000e+00 5.8150e-15 1.6240e-13 1.6830e-13
8.6000e+00 6.2880e-15 1.8130e-13 1.8760e-13
8.4000e+00 8.0380e-15 2.2550e-13 2.3360e-13
8.3000e+00 9.7620e-15 2.5160e-13 2.6140e-13
8.2000e+00 1.2190e-14 2.8030e-13 2.9250e-13
8.1000e+00 1.4680e-14 3.1250e-13 3.2720e-13
8.0000e+00 1.7500e-14 3.4820e-13 3.6570e-13
7.9000e+00 2.0600e-14 3.8790e-13 4.0850e-13
7.8000e+00 2.3800e-14 4.3180e-13 4.5560e-13
7.6000e+00 3.0230e-14 5.3490e-13 5.6520e-13
7.5000e+00 3.3580e-14 5.9510e-13 6.2870e-13
7.4000e+00 3.7880e-14 6.6190e-13 6.9980e-13
7.3000e+00 4.2790e-14 7.3590e-13 7.7870e-13
7.2000e+00 4.8050e-14 8.1780e-13 8.6580e-13
7.1000e+00 5.3310e-14 9.0860e-13 9.6190e-13
7.0000e+00 5.8430e-14 1.0090e-12 1.0680e-12
6.8000e+00 6.8220e-14 1.2430e-12 1.3120e-12
6.7000e+00 7.3760e-14 1.3790e-12 1.4530e-12
6.6000e+00 8.0690e-14 1.5300e-12 1.6100e-12
6.5000e+00 8.9480e-14 1.6960e-12 1.7850e-12
6.4000e+00 9.8340e-14 1.8790e-12 1.9780e-12
6.3000e+00 1.0670e-13 2.0810e-12 2.1880e-12
6.2000e+00 1.1600e-13 2.3050e-12 2.4210e-12
6.0000e+00 1.4560e-13 2.8220e-12 2.9670e-12
5.9000e+00 1.6380e-13 3.1200e-12 3.2840e-12
5.8000e+00 1.9310e-13 3.4480e-12 3.6410e-12
5.7000e+00 2.2460e-13 3.8090e-12 4.0340e-12
5.6000e+00 2.5660e-13 4.2060e-12 4.4630e-12
5.5000e+00 2.8950e-13 4.6420e-12 4.9320e-12
5.4000e+00 3.2530e-13 5.1210e-12 5.4460e-12
5.2000e+00 4.1130e-13 6.2200e-12 6.6320e-12
5.1000e+00 4.5700e-13 6.8500e-12 7.3070e-12
5.0000e+00 4.9900e-13 7.5400e-12 8.0390e-12
4.9000e+00 5.3820e-13 8.2930e-12 8.8320e-12
4.8000e+00 5.7680e-13 9.1170e-12 9.6940e-12
4.7000e+00 6.2940e-13 1.0020e-11 1.0650e-11
4.6000e+00 7.1420e-13 1.1000e-11 1.1710e-11
4.4000e+00 9.1360e-13 1.3230e-11 1.4140e-11
4.3000e+00 1.0160e-12 1.4490e-11 1.5510e-11
4.2000e+00 1.1790e-12 1.5870e-11 1.7050e-11
4.1000e+00 1.3530e-12 1.7360e-11 1.8710e-11
4.0000e+00 1.5110e-12 1.8970e-11 2.0480e-11
3.9000e+00 1.7220e-12 2.0720e-11 2.2440e-11
3.8000e+00 1.9800e-12 2.2610e-11 2.4590e-11
3.6000e+00 2.6560e-12 2.6850e-11 2.9510e-11
3.5000e+00 3.0440e-12 2.9220e-11 3.2260e-11
3.4000e+00 3.5020e-12 3.1760e-11 3.5260e-11
3.3000e+00 3.9700e-12 3.4490e-11 3.8460e-11
3.2000e+00 4.3890e-12 3.7410e-11 4.1800e-11
3.1000e+00 4.8370e-12 4.0530e-11 4.5360e-11
3.0000e+00 5.3700e-12 4.3850e-11 4.9220e-11
2.8000e+00 6.4790e-12 5.1150e-11 5.7620e-11
2.7000e+00 6.9240e-12 5.5120e-11 6.2040e-11
2.6000e+00 7.3290e-12 5.9310e-11 6.6640e-11
2.5000e+00 7.7450e-12 6.3710e-11 7.1460e-11
2.4000e+00 8.1070e-12 6.8330e-11 7.6440e-11
2.3000e+00 8.4300e-12 7.3150e-11 8.1580e-11
2.2000e+00 8.7400e-12 7.8150e-11 8.6890e-11
2.0000e+00 9.3200e-12 8.8640e-11 9.7960e-11
1.9000e+00 9.5630e-12 9.4060e-11 1.0360e-10
1.8000e+00 9.8690e-12 9.9560e-11 1.0940e-10
1.7000e+00 1.0330e-11 1.0510e-10 1.1540e-10
1.6000e+00 1.0850e-11 1.1050e-10 1.2140e-10
1.5000e+00 1.1200e-11 1.1590e-10 1.2710e-10
1.4000e+00 1.1680e-11 1.2100e-10 1.3270e-10
1.2000e+00 1.2830e-11 1.3030e-10 1.4310e-10
1.1000e+00 1.3130e-11 1.3410e-10 1.4720e-10
1.0000e+00 1.3300e-11 1.3710e-10 1.5040e-10
9.0000e-01 1.3570e-11 1.3910e-10 1.5270e-10
8.0000e-01 1.3680e-11 1.3980e-10 1.5350e-10
7.0000e-01 1.3340e-11 1.3900e-10 1.5230e-10
6.0000e-01 1.2790e-11 1.3620e-10 1.4900e-10
4.0000e-01 1.0370e-11 1.2210e-10 1.3240e-10
3.0000e-01 8.5480e-12 1.0870e-10 1.1730e-10
2.0000e-01 6.3990e-12 8.8220e-11 9.4620e-11
