Energy	   (a,n)	   S.F.	   tot
1.6000e+00 2.3380e-10 1.1050e-10 3.4440e-10
1.5000e+00 2.4110e-10 1.1590e-10 3.5700e-10
1.4000e+00 2.5100e-10 1.2100e-10 3.7210e-10
1.2000e+00 2.7530e-10 1.3030e-10 4.0550e-10
1.1000e+00 2.8180e-10 1.3410e-10 4.1590e-10
1.0000e+00 2.8530e-10 1.3710e-10 4.2230e-10
9.0000e-01 2.9090e-10 1.3910e-10 4.3000e-10
8.0000e-01 2.9320e-10 1.3980e-10 4.3310e-10
7.0000e-01 2.8590e-10 1.3900e-10 4.2500e-10
6.0000e-01 2.7410e-10 1.3620e-10 4.1030e-10
4.0000e-01 2.2230e-10 1.2210e-10 3.4430e-10
3.0000e-01 1.8340e-10 1.0870e-10 2.9210e-10
2.0000e-01 1.3770e-10 8.8220e-11 2.2590e-10
