x,y,low,high
0.2701,0.2951,0.2533,0.3122
1.3677,0.2999,0.2595,0.3173
2.4101,0.3277,0.2835,0.358
3.4525,0.3552,0.3024,0.3758
4.4399,0.3976,0.3412,0.4173
5.4827,0.3913,0.3331,0.4275
6.5248,0.4596,0.3913,0.4942
7.5124,0.4942,0.4174,0.5399
8.445,0.5356,0.4487,0.5621
9.5426,0.5488,0.471,0.5948
10.475,0.6242,0.523,0.6604
11.4624,0.71,0.6193,0.7758
12.5048,0.7821,0.6876,0.8476
13.4922,0.8683,0.7334,0.9564
14.5346,0.9412,0.8342,1.0119
15.4675,0.9643,0.8477,1.0284
16.5105,0.897,0.8014,0.9879
17.4434,0.9264,0.7887,1.0122
18.4865,0.8549,0.7396,0.9191
19.4197,0.8016,0.7048,0.8549
20.4624,0.8147,0.7105,0.8618
21.5601,0.789,0.6825,0.8481
22.5483,0.7339,0.6299,0.7702
23.5362,0.7281,0.6249,0.7459
24.4693,0.6994,0.6002,0.7281
25.5121,0.6995,0.6199,0.74
26.5002,0.6454,0.5721,0.6884
27.4882,0.6251,0.5495,0.656
28.5311,0.6005,0.5279,0.6352
29.4095,0.5676,0.4794,0.5862
30.4522,0.5722,0.4872,0.5957
31.5503,0.5032,0.4318,0.5323
32.4832,0.5154,0.4389,0.5453
33.5809,0.4992,0.4424,0.5324
34.5142,0.4719,0.4149,0.4992
35.3924,0.4497,0.3859,0.4757
36.3806,0.4183,0.3737,0.4497
37.423,0.4571,0.4018,0.4835
38.4113,0.4117,0.3562,0.4321
39.4545,0.362,0.3157,0.3923
40.4419,0.4085,0.3591,0.4426
41.3755,0.3506,0.3058,0.38
42.4183,0.3477,0.3033,0.38
43.4061,0.3506,0.3058,0.3739
44.3946,0.3009,0.2646,0.3315
45.4918,0.3315,0.2891,0.3535
46.37,0.3262,0.2777,0.3423
47.4132,0.2891,0.2502,0.3109
48.4008,0.3059,0.2626,0.3263
49.4984,0.3134,0.2647,0.3237
50.4864,0.3035,0.2647,0.316
51.3646,0.2916,0.2462,0.311
52.3527,0.2756,0.2503,0.2916
