x,y,low,high
0.4809,2.6122,0.8005,6.697
1.414,2.5708,1.2262,6.3307
2.5116,2.6127,1.2767,6.698
3.3349,2.5301,1.2871,3.7833
4.3228,2.5303,1.3293,3.8141
5.4198,2.9485,1.5121,4.2349
6.5724,2.8554,1.5491,4.2014
7.505,3.1451,1.734,4.4452
8.4381,3.0951,1.4763,4.4099
9.591,2.8105,1.6131,3.9404
10.4687,2.9735,1.9256,4.0047
11.4016,3.1714,2.0704,4.237
12.444,3.4652,2.374,4.5924
13.4865,3.6369,2.5118,4.8199
14.4742,3.7865,2.6362,4.8984
15.5718,3.7264,2.6578,4.8989
16.5598,3.6968,2.5946,4.8599
17.4929,3.5228,2.433,4.6686
18.5358,3.4391,2.3185,4.7067
19.6338,3.148,2.0717,4.2057
20.5668,3.123,1.9901,4.2742
21.6097,2.9761,1.8813,4.1392
22.4881,2.8133,1.736,3.9444
23.5857,2.7464,1.6543,3.866
24.464,2.6596,1.6019,3.729
25.6165,2.7029,1.4546,3.805
26.6042,2.6815,1.3974,3.8207
27.5925,2.5146,1.321,3.5972
28.4707,2.4156,1.2387,3.4556
29.623,2.5764,1.2191,3.6414
30.6659,2.4355,1.1711,3.4562
31.6538,2.4162,1.0982,3.4564
32.6968,2.2657,1.0549,3.2805
33.5749,2.2659,1.0382,3.294
34.6178,2.1943,0.9893,3.2943
35.4412,2.1249,0.9203,3.1773
36.5388,2.1251,1.1345,3.1143
37.4718,2.0913,1.1346,3.0038
38.4049,2.0252,1.1076,2.9442
39.5028,1.9299,1.0386,2.7944
40.3809,1.8993,1.0221,2.8629
41.4239,1.781,0.9508,2.5996
42.4667,1.7811,0.9433,2.642
43.5093,1.7957,0.9433,2.6316
44.4975,1.6703,0.6838,2.4578
45.4302,1.7959,0.951,2.6532
46.5283,1.6047,0.8363,2.3518
47.4612,1.6309,0.8568,2.4191
48.3942,1.5794,0.8165,2.3521
49.3822,1.5795,0.8165,2.3713
50.425,1.5544,0.8035,2.2964
51.4128,1.5671,0.7845,2.269
52.4558,1.4933,1.4115,1.5926
